id,title,description
1,"Remove Monitor Dev from Trunk Subcu/Fascia, Extern","Laceration without foreign body of left front wall of thorax with penetration into thoracic cavity, initial encounter"
2,"Release Prepuce, Percutaneous Approach","Poisoning by antineoplastic and immunosuppressive drugs, undetermined, initial encounter"
3,Gait Training/Ambulat Treatment using Aerobic Equipment,"Mucosal cyst of postmastoidectomy cavity, bilateral ears"
4,"Excision of Right Foot, Open Approach, Diagnostic","Fracture of alveolus of right mandible, subsequent encounter for fracture with routine healing"
5,"Revision of Nonaut Sub in L Auditory Ossicle, Endo","Corrosion of second degree of unspecified site of unspecified lower limb, except ankle and foot, initial encounter"
6,"Repair Left Face Vein, Open Approach","Sprain of metacarpophalangeal joint of right little finger, initial encounter"
7,"Removal of Synthetic Substitute from Left Eye, Endo","Torus fracture of upper end of right fibula, subsequent encounter for fracture with malunion"
8,"Bypass L Ext Iliac Art to L Femor A w Synth Sub, Perc Endo","Other fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
9,"Removal of Infusion Device from Cranial Cav, Open Approach","Poisoning by unspecified general anesthetics, intentional self-harm"
10,"Supplement L Inqnl Lymph with Autol Sub, Open Approach","Term delivery with preterm labor, third trimester, fetus 3"
11,"Drainage of Left Hand Muscle, Perc Endo Approach","Unspecified sprain of right foot, initial encounter"
12,"Fusion of L Sternoclav Jt with Autol Sub, Perc Approach","Other non-follicular lymphoma, extranodal and solid organ sites"
13,Fluoroscopy of Sacrum and Coccyx using Other Contrast,"Algoneurodystrophy, thigh"
14,"Transfer Glossophar Nrv to Acoust Nrv, Perc Endo Approach",Rheumatoid myopathy with rheumatoid arthritis of unspecified hip
15,"Insertion of Infusion Device into L Buttock, Perc Approach","Preterm labor second trimester with preterm delivery second trimester, fetus 3"
16,"Drainage of Hypoglossal Nerve, Perc Endo Approach","Other hypertrophic osteoarthropathy, hand"
17,"Fusion of L Temporomandib Jt with Autol Sub, Perc Approach","Wedge compression fracture of T5-T6 vertebra, initial encounter for closed fracture"
18,"Occlusion Splenic Art w Intralum Dev, Perc Endo",Other chest pain
19,Exercise Trmt Neuro Up Back/UE w Mech/Electromech Equip,Other spontaneous disruption of posterior cruciate ligament of knee
20,"Dilate of R Renal Vein with Intralum Dev, Perc Endo Approach","Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, assault, initial encounter"
21,"Bypass 1 Cor Art from R Int Mammary w Zooplastic, Perc Endo",Complete traumatic amputation at hip joint
22,"Removal of Other Device from GU Tract, Perc Endo Approach","Nondisplaced fracture of base of fifth metacarpal bone, right hand, subsequent encounter for fracture with delayed healing"
23,"Replacement of Esophageal Vein with Synth Sub, Open Approach","Other physeal fracture of upper end of radius, unspecified arm, initial encounter for closed fracture"
24,"Dilation of Right Parotid Duct, Percutaneous Approach","Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, accidental (unintentional)"
25,"Drainage of Left Pleura, Open Approach","Other instability, ankle and foot"
26,"Release Right Nipple, Via Natural or Artificial Opening","Contusion of unspecified part of pancreas, initial encounter"
27,"Insertion of Intramed Fix into L Femur Shaft, Perc Approach","Displaced fracture of unspecified tibial tuberosity, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
28,"Revision of Int Fix in L Toe Phalanx, Extern Approach",Histiocytic and mast cell tumors of uncertain behavior
29,"Drainage of Left Axillary Artery, Open Approach","Marginal corneal ulcer, left eye"
30,"Drainage of Right External Ear, Percutaneous Approach",Chronic laryngitis
31,"Revision of Other Device in Neck, Percutaneous Approach","Idiopathic chronic gout, left shoulder, with tophus (tophi)"
32,"Drain Int Mamm, L Lymph w Drain Dev, Perc Endo","Displacement (lateral) of globe, left eye"
33,"Insertion of Other Device into Right Buttock, Perc Approach","Unspecified injury of extensor muscle, fascia and tendon of left little finger at forearm level, subsequent encounter"
34,"Gastrointestinal System, Supplement",Rheumatoid arthritis with rheumatoid factor of elbow without organ or systems involvement
35,"Replacement of Atrial Septum with Synth Sub, Open Approach","Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type I or II with delayed healing"
36,"Supplement Right Breast with Nonaut Sub, Perc Approach","Other specified disorders of amniotic fluid and membranes, first trimester, fetus 3"
37,"Reposition L Sphenoid Bone with Int Fix, Perc Endo Approach","Unspecified early complication of trauma, initial encounter"
38,"Division of Papillary Muscle, Open Approach","Other superficial bite of left great toe, initial encounter"
39,"Introduction of Destr Agent into Central Art, Perc Approach",Pulmonary alveolar microlithiasis
40,"Reposition Right Extraocular Muscle, Open Approach",Tuberculosis of intrathoracic lymph nodes
41,"Supplement Left Lacrimal Bone with Autol Sub, Perc Approach","Cataract (lens) fragments in eye following cataract surgery, right eye"
42,"Replacement of L Abd Tendon with Synth Sub, Open Approach",Chronic embolism and thrombosis of right femoral vein
43,"Transfer Face Subcutaneous Tissue and Fascia, Perc Approach","Salter-Harris Type III physeal fracture of lower end of radius, left arm, sequela"
44,CT Scan of Celiac Art using Intravasc Optic Cohere,"Person boarding or alighting a pedal cycle injured in collision with two- or three-wheeled motor vehicle, subsequent encounter"
45,"Restrict of L Ext Carotid with Intralum Dev, Perc Approach","Poisoning by lysergide [LSD], undetermined"
46,"Bypass Hemiazygos Vein to Up Vein w Autol Vn, Open",Burn of first degree of right thumb (nail)
47,"Supplement Left Tarsal Joint with Autol Sub, Open Approach","Stress fracture, left radius"
48,"Dilate R Ulnar Art, Bifurc, w Drug-elut Intra, Perc Endo","Nondisplaced segmental fracture of shaft of unspecified tibia, subsequent encounter for closed fracture with routine healing"
