id,name,createdYear
1,Ntags,2010
2,Katz,1991
3,Ooba,1974
4,Skyba,2017
5,Trunyx,1981
6,Riffpedia,2018
7,Riffwire,2013
8,Twitterwire,2001
9,Skippad,1996
10,Feednation,2002
11,Tagchat,1980
12,Zoomcast,2010
13,Yombu,2005
14,Fiveclub,2020
15,Brainverse,1996
16,Demizz,1981
17,Mydeo,2015
18,Skyvu,1996
19,Jaxworks,2000
20,Gabspot,2012
21,Skimia,1987
22,Divavu,1979
23,Roomm,2007
24,Mynte,2021
25,Buzzdog,1985
26,Skimia,1992
27,Yoveo,1999
28,Geba,1979
29,Flashset,2021
30,Aibox,1970
31,Dablist,1986
32,Twitterbridge,1992
33,Fliptune,2005
34,Vipe,1992
35,Yotz,2001
36,Tagcat,2015
37,Aivee,2001
38,Shufflebeat,1999
39,Dabjam,2016
40,Skipstorm,1993
41,Gabtype,2000
42,Quimba,1976
43,Jetpulse,2013
44,Buzzster,2021
45,Zoomzone,2001
46,Podcat,2016
47,Linktype,2015
48,Devcast,1992
49,Zooveo,2021
50,Yambee,1972
