mfo,name,address,city
01196,"""APEX BANK"" Акциядорлик жамияти",,Ташкент
01200,"""TRASTBANK"" XAБ РАҚАМЛИ ФИЛИАЛ",,Ташкент
01198,“HAYOT BANK” AJ,,Ташкент
01199,“SMART BANK” AJ,,Ташкент
01197,“YANGI BANK” AJ,,Ташкент
00723,"79, Опер. отд. облуправления                                                 ХЛБ",,Ташкент
01201,"Алтиарикский филиал АКБ ""Универсал банк""",,Ташкент
00619,"АМУДАРЁ Т., ""АГРОБАНК"" АТБ АМУДАРЁ ФИЛИАЛИ","230700, Қорақалпоғистон Республикаси, Амударё тумани, Манғит ш., Бердах кўчаси, 11 уй",Мангит
00620,"АМУДАРЁ Т., ""МИКРОКРЕДИТБАНК"" АТБ МАНГИТ ФИЛИАЛИ","230100, Қорақалпоғистон Республикаси, Амударё тумани, Манғит ш., Бердах кўчаси, 17 уй",Мангит
10433,"АМУДАРЁ Т., `МИКРОКРЕДИТБАНК` АТБ КИПЧОК БХМ",,Ташкент
10514,"АМУДАРЁ Т., АТ `АЛОКАБАНК` АМУДАРЁ БХО",,Ташкент
10017,"АМУДАРЁ Т., АТ ХАЛК БАНКИ АМУДАРЁ БХО",,Ташкент
00634,"АМУДАРЁ Т., АТ ХАЛК БАНКИ АМУДАРЁ ФИЛИАЛИ","231400, Қорақалпоғистон Республикаси, Амударё тумани, Манғит ш., Бердах кўчаси, 1 уй",Мангит
10783,"АМУДАРЁ Т., АТБ `КИШЛОК КУРИЛИШ БАНК` АМУДАРЁ БХКМ",,Ташкент
10633,"АМУДАРЁ Т., ЧЕТ ЭЛ КАПИТАЛИ ИШТИРОКИДАГИ `HAMKORBANK` АТБ АМУДАРЁ БХМ",,Ташкент
00343,"АНГОР Т., ""АГРОБАНК"" АТБ АНГОР ФИЛИАЛИ","Сурхондарё вилояти, Ангор тумани, Ангор қўрғони, Ат-Термизий кўчаси, 64 уй",Ангор кург.
00344,"АНГОР Т., ""МИКРОКРЕДИТБАНК"" АТБ АНГОР ФИЛИАЛИ","190800, Сурхондарё вилояти, Ангор тумани , Ангор қўрғони, Ат-Термизий кўчаси, 5 уй",Ангор кург.
10342,"АНГОР Т., `ТРАСТБАНК` ХА БАНКИ АНГОР БХМ",,Ташкент
10539,"АНГОР Т., АТ `АЛОКАБАНК` АНГОР БХО",,Ташкент
00751,"АНГОР Т., АТ ХАЛК БАНКИ АНГОР ФИЛИАЛИ","Сурхондарё вилояти, Ангор тумани, Ангор ш., Ат-Термизий кўчаси, 7 уй",Ангор кург.
10607,"АНГОР Т., ЧЕТ ЭЛ КАПИТАЛИ ИШТИРОКИДАГИ `HAMKORBANK` АТБ АНГОР БХМ",,Ташкент
00935,АНГОРСКОЕ ОТД. АСАКАБАНКА                                                    АСБ,,Ташкент
00461,"АНГРЕН Ш., ""ИПОТЕКА-БАНК"" АТИБ АНГРЕН ФИЛИАЛИ","110600, Тошкент вилояти, Ангрен ш., А.Навоий кўчаси, 1 уй",Ангрен
00890,"АНГРЕН Ш., ""ТИФ МИЛЛИЙ БАНКИ"" АЖ АНГРЕН ФИЛИАЛИ","160704, Тошкент вилояти, Ангрен ш., Оҳангарон кўчаси, 1 уй",Ангрен
01022,"АНГРЕН Ш., ""УЗСАНОАТКУРИЛИШБАНКИ"" АТБ АНГРЕН ФИЛИАЛИ","110200, Тошкент вилояти, Ангрен ш., 5/1A даҳаси кўчаси, 3 уй",Ангрен
10418,"АНГРЕН Ш., `ANOR BANK` АЖ АНГРЕН СОТУВ БУЛИМИ",,Ташкент
10807,"АНГРЕН Ш., `МИКРОКРЕДИТБАНК` АТБ АНГРЕН БХМ",,Ташкент
00784,"АНГРЕН Ш., АТ ХАЛК БАНКИ АНГРЕН ФИЛИАЛИ","110100, Тошкент вилояти, Ангрен ш., Оҳангарон кўчаси, 25 уй",Ангрен
01149,"АНГРЕН Ш., ЧЕТ ЭЛ КАПИТАЛИ ИШТИРОКИДАГИ ""HAMKORBANK"" АТБ АНГРЕН ФИЛИАЛИ",,Ташкент
10645,"АНГРЕН Ш., ЧЕТ ЭЛ КАПИТАЛИ ИШТИРОКИДАГИ `HAMKORBANK` АТБ ОМАД БХМ",,Ташкент
00062,"АНДИЖОН Т., ""АГРОБАНК"" АТБ АНДИЖОН ФИЛИАЛИ","170600, Андижон вилояти, Андижон тумани, Куйганёр ш., У.Юсупова кўчаси, 23 уй",Андижон
00063,"АНДИЖОН Т., ""МИКРОКРЕДИТБАНК"" АТБ КУЙГАН-ЁР ФИЛИАЛИ","170600, Андижон вилояти, Андижон тумани, Куйганёр ш., У.Юсупов кўчаси, 27 уй",Андижон
10296,"АНДИЖОН Т., `ТРАСТБАНК` ХА БАНКИ АНДИЖОН БХМ",,Ташкент
10526,"АНДИЖОН Т., АТ `АЛОКАБАНК` АНДИЖОН ТУМАНИ БХО",,Ташкент
10071,"АНДИЖОН Т., АТ ХАЛК БАНКИ `ЖАХОН БОЗОРИ` БХМ",,Ташкент
00658,"АНДИЖОН Т., АТ ХАЛК БАНКИ КУЙГАНЁР ФИЛИАЛИ","170700, Андижон вилояти, Андижон тумани, Куйганёр қўрғони, У.Юсупов кўчаси, 12 уй",Куйганёр кург.
00077,"АНДИЖОН Ш., ""АГРОБАНК"" АТБ АНДИЖОН ВИЛОЯТ ХУДУДИЙ ФИЛИАЛИ","Андижон вилояти, Андижон ш., Пушкин кўчаси, 47 уй",Андижон
00972,"АНДИЖОН Ш., ""АСАКА"" АТ БАНКИ ФАРХОД ФИЛИАЛИ","150700, Андижон вилояти, Андижон ш., Айланма кўчаси, 1 уй",Андижон
00069,"АНДИЖОН Ш., ""АСАКАБАНК"" АЖ АНДИЖОН ФИЛИАЛИ","170112, Андижон вилояти, Андижон ш., Миллий тикланиш кўчаси, 41 уй",Андижон
01120,"АНДИЖОН Ш., ""ИПАК ЙУЛИ"" АИТ БАНКИНИНГ АНДИЖОН ФИЛИАЛИ","170100, Андижон вилояти, Андижон ш., Истиқлол кўчаси, 35 уй",Андижон
